study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
biomedische technologie,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"complexer duurder. biomedisch technoloog begrijp 'gezonde gezondheidszorg' heeft: langer gezond Ã©n behandelen. Gezondheid. overige vwo-profielen bevonden Biomedische gezondheidsproduct. kwaliteitseisen verbetert. gezondheidsvraagstuk. productontwikkeling ethiek. gezondheidsvraagstuk. productontwikkeling ethiek. keuzeprogramma stomen afstudeeropdracht, biomedisch technoloog Nederlandse springen. wo-master sprake Biomedical Engineering, Biomedical Technology Physics, Technical Medicine, Health Sciences, Biomedical Sciences Medical Engineering."
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Duurzaam, efficiÃ«nt klimaatbestendig inrichten creativiteit. gebouwen, wijken ontwerptechnieken bijvoorbeeld. Built Environment; Bouwtechnische Bedrijfskunde samenbrengt. mbo-4-diploma. Cultuur Maatschappij-profiel afwijkende Built Environment afstudeerrichtingen afstudeert. diepe opzet. afstudeerrichting: Architectuur, Architectonische Assetmanagement, Constructie, Mobiliteit, Projectmanagement, Stedenbouw Water. minor; keuzeprogramma verbreedt. afstudeerrichtingen masters: Structural HvA Constructie. TU Delft doorstroomminor. Architectuur afstudeerrichtingen Amsterdamse Academie Bouwkunst (4-jarige deeltijd) TU Delft (2-jarige voltijd). TU Delft website TU Delft Overige masters: gesteld wo-master sprake"
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"instellingen AI-oplossingen? gamechanger mensgerichte artificiÃ«le intelligentie nadenkt reflecteert ethisch, moreel sociaal oogpunt. Applied kennismaken. Applied AI doorstroommaster, bÃ¨tatechnische opgenomen masterprogramma. inschrijvingsproces gevraagd uploaden waaruit componenten; (Python), learning, data-analyse, lineaire algebra, calculus, statistiek. uploaden zullen toelaatbare (zie hieronder overzicht) (indien is) geplaatst. Overige zullen uitgenodigd interview. Applied AI 1-jarig voltijds Nederlands aangeboden. AI-oplossingen gebruik, geÃ¯mplementeerd ethische consequenties snelheid hoe, Applied Intelligence. beeldverwerking natuurlijke taalverwerking Learning, Deep Learning, Vision. train AI-model classificeren beeld. natuurlijke taalmodellen, getrainde opdrachtcasus bieden. werkende AI-model, applicatie waarbinnen zit. hou (fysieke, sociale, technische) waarbinnen AI-oplossing Ã©Ã©n Applied AI-labs HvA. praktijkonderzoek Education; Market Insights; Responsible AI; Financial Innovation; Asset Management; Health Vitality; Legal Tech."
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"creÃ«ren toekomst? Duurzaam, leefbaar bereikbaar. schaarste ruimte, grondstoffen, schone lucht? Urban Technology 1-jarig voltijds systematisch uitdagingen. MSc Urban Technology bÃ¨tatechnische hbo-bachelor. gewaardeerd diplomawaardeerders International Office (Studentenzaken). taalvaardigheidsniveau Staatsexamen NT2-II. Geschikte hbo-opleidingen Urban Technology: Aviation; Mechatronica; Built Environment; Bedrijfskunde; Engineering; Elektrotechniek; Logistics Engineering; Werktuigbouwkunde. onderwijsblokken: onderwijsblokken afstudeert. Urban Tech leerlijnen. leerlijnen aangereikt moment. workshops, lezingen kennismaakt state-of-the-art Centre Expertise Urban Tech. kennismaking sociaal-technisch systeem. Urban Tech grootstedelijke Amsterdam onderzoekt. veldopdracht, reflectie evaluatie. Urban Tech Urban Tech integratie wijklogistiek punt. verdediging assessment portfolio."
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"Interaction Design-traject Science-programma opleidt ontwerpprofessional. track 's werelds kritische ethische ontwerpbenadering, planeetgerichte praktijken. (of gelijkwaardige titel), eerdere ontwerpervaring geannoteerd Engelse beheersen. portfolio: kandidaten Interactive User Research, UI enzovoort. reflectieve component vervuld workflow instellingen ontwerpwereld minimum werkervaring, solliciteren uitstekend designportfolio schoolsetting geproduceerd. verwelkomen stimuleren sollicitaties kandidaten Interaction gecentreerd Playgrounds: EcologieÃ«n, Interacties ontwerpgerelateerde inhoudelijke bubbels verkennen teamproject. ondergedompeld verwante leertrajecten ethiek, verwacht studieplan ontwikkelt, meegenomen beoordelingen. onderzoeksgroepen, industriÃ«le ontwerpbureaus ondersteunen. gedeelde waarden stemmen werkwijze designgerelateerde gebieden. verwachtingen betrekking studieplan. teamprojecten, gecoacht ontwerpbureaus, tussentijdse evaluaties. teamproject. genieten masterclasses ontwerpbureaus designgerelateerde gebieden. Eindbeoordelingen harde tentoonstelling gemaakt. evenement omvat diner bijgewoond partners, liaisons industrie, alumni"
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,"matchmaker data-expertise, bedrijfsexpertise technologieÃ«n? geÃ¯nteresseerd evidence-based besluitvorming analytics? Engelstalige Driven slechts Ã©Ã©n Intelligence. DDB gekenmerkt Driven Business, dienen Economie, Bedrijfskunde, Engineering, ICT bewezen affiniteit minste domeinen, maximaal Engels, Engelse taalvaardigheid toelatingseisen: Driven Business, dienen studenten: 'domeinen' (die uw primaire noemen): Bedrijfskunde (bijv. Marketing, Ondernemerschap, Informatiesystemen, Economie, Bedrijfskunde); Science, Informatica, ICT; (d.w.z. Engineering, Logistiek); affiniteit minste domeinen (die secundaire noemen). Bijvoorbeeld: Bedrijfskunde/Economie Analytics Science, Ondernemerschap niet-marketeers; maximaal bachelordiploma. Driven vervolgmasteropleiding (Nederlands: doorstroommaster), voorkeur start; vaardig Engels (begrip, spreken) C1-niveau. aangetoond testresultaat. kandidaten vrijgesteld. Engelse taalvaardigheid: Engels gegeven gestandaardiseerd Engels vereist. aansluiten, Engels varieert meestal. Engelse testscorerapporten, gemeenschappelijk basisbegrip Engels hen succes. academisch; hen studiemateriaal lezen, examens masterproject schrijven. hen socialiseren digital-driven datavertaler. ruwe zakelijke technologieÃ«n besluitvorming fintech. basiscursussen Emerging Technology Business, Statistics, AI Methods Ethics. Fintech Marketing. masterproject: state-of-the-art beoordelen middelen"
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"beveiligt cyberaanval? beveiliging computersystemen kwetsbaarheden vinden? volgen? mbo4-, verplichte studiekeuzecheck. erachter Ad vraagstuk. â€“vaardigheden cybersecurityprofessional. (veiligheid operationele organisaties. programmeervaardigheden Python databases zogenaamde boosteractiviteiten. opdrachten, presentaties cybersecurity portfolio. veiligheid. betrekking Threat Intelligence, Monitoring Ethical Hacking. (blok 7) Ã©Ã©n cybersecurity themaâ€™s, doorstroomprogramma HBO-ICT zelfstandig, gestructureerde 120 doorstroomprogramma omvang duur doorstroomprogramma hangen vrijstellingen"
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"wel: niets aanbiedingen favoriete sportmerk, event vakantiebestemming. trailers verleiden serie vaker, specifieker, jou: gepersonaliseerde content. content werkt? Production (SMP) Ad mbo'ers, havisten vwoâ€™ers diplomaâ€™s toelatingsmogelijkheden. mei ingeschreven HvA, studievertraging opgelopen? daardoor vÃ³Ã³r mbo-diploma? afrondingsadvies Ad Production gepersonaliseerde content verspreiden Ã©n vermarkten technologieÃ«n. technologieÃ«n content (*In Ad Production coderen programmeren). blokken. centraal: Conversational Learning, Campagnes AI Growth Hacking. beroepstaken, geformuleerd leerresultaat. Hub. blokken. 5e muzieklabel 6e organiseer event media. keuzeruimte. stagelopen, Creative stromen bachelor. Ad-opleiding doorstroomprogramma omvang duur doorstroomprogramma hangen Ad Production bacheloropleidingen Creative Communicatie, doorstroomblok"
software development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"betrouwbare gebruiksvriendelijke software- webapplicaties bouwt? hbo-opleiding? HBO-ICT. mbo4-, verplichte studiekeuzecheck. erachter Ad website, webapplicatie mobile app. ronden. docententeam. developer gemaakt. Developer Javascript/Typescript, HTML, CSS Databases. Tegelijkertijd SCRUM, methode effectievere flexibelere SCRUM applicaties. ronden getoetst assessment tentamens. portfolio. (blok 7) keuzemodule doorstroomprogramma HBO-ICT. verkorte hbo-ict Ad-opleiding doorstroomprogramma Engineering. HvA-opleiding HBO-ICT vrijstelling Ad instroom HBO-ICT."
frontend design & development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,"code, lastige apps gebruiksvriendelijker webapplicaties bouwen? Nederlandstalige Frontend (FDND) hbo-diploma. Ad Frontend mbo-4-diploma. nadere Ad Frontend (FDND) code: webdesign, visual interface frontend development. responsive website test. interface informatiearchitectuur, Ã©n HTML, CSS JavaScript. opslaat bouwt. server coderen gevoel control netwerkverbinding wegvalt. workflow, tooling frameworks, studieonderdelen (Ad) HvA. complexe, gebruiksvriendelijke vervolgopleiding hbo-bachelor. Ad FDND stromen Communication Multimedia (CMD)."
biologie en medisch laboratoriumonderzoek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"Laboratoriumonderzoek (BML) analyseer DNA. nieuwsgierig, vindingrijk kritisch. bewijsmateriaal verborgen zit. liefst achtergrond. boeiend onderzoeksresultaten. herkent BML-opleiding analist. BML lesweken. samenhangend geheel projectwerk behandeld. beroepenveld opleveren, oncologie, forensische infectieziekten biotechnologie. Laboratoriumonderzoek duo's verzorgd aangedragen kennen, microbiologie, histologie biochemie. stukje forensisch BML-opleiding structuur complexer. Bovendien samenstellen. forensisch data-analyse bio-informatica. achtergrond biologie. lopende Bovendien vrijekeuzemodules Avans BML-studie feite geheel, bepalen. ware meesterproef Laboratoriumonderzoek solide masterstudies. Forensic Amsterdam. Biomedische Wetenschappen, Infection Immunity Molecular Medicine European Forensic Educational Network postgraduate certificate International Forensic Crime"
bouwkunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"toekomstbestendig klimaat, energieverbruik, dichte bebouwing professionals. gebouwontwerpen herbestemmen gebouwen. bouwmethodieken probeer besparen. biobased sloop, demontage hergebruik opdrachtgevers, ontwikkelaars, ontwerpers, adviseurs, uitvoerende eindgebruikers. omgeving, materiaalgebruik. (nog) niet. bouwkunde. uitvoering. architectonisch-, bouwtechnisch- constructief theorielessen. communicatie, Engels coaching specialiseren? bouwtechnisch leuk? aansluiten. architectonisch ontwerp? uitgebreide stagekeuze, ambities. opties doorloopt. (hoort afstuderen), project? lopen? meekijkt (ook wel: proeve bekwaamheid). onderzoek- ontwerpopdracht begeleidt. Uiteraard Eindhoven. Academie Bouwkunst. architect. werkgever post-hbo-opleiding. constructeursopleiding."
bouwtechnische bedrijfskunde,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,"Bouwtechnische Bedrijfskunde Tilburg waarom voeten klei vooruit. onderzoekend. Afwachten krijgt, niets pakken. kritisch, positief. verantwoordelijkheidsgevoel budgetten herkent, Bouwtechnische Bedrijfskunde motto 'Met voeten klei'. organiseren. eentje, keren Naarmate bouwtechniek. bouwtechniek. koppelen bouwkunde. bedrijfskunde. circulariteit. wisselt groepswerk. beroepsspecifieke vrijekeuzemodule. Avans Bouwtechnische Bedrijfskunde architect Bouwtechnische Bedrijfskunde vervolgopleiding"
chemie,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"onderzoekend, moleculen. kunststoffen, levensmiddelen meten. interessant. Proeven leuk, waaruit voedingsmiddelen sporen meedenken milieuvriendelijke vindingrijk, exact secuur. Herken hierin? volwaardig chemicus uitgerust Breda uitgebreidere polymeerontwikkeling materiaalkunde, Den Bosch bio-analytische sterker voren farmaceutische forensische aangeboden. 15 studiepunten. én favoriete Breda Molecular Innovations, Forensic Chemistry Chemistry Health. Den Bosch Food Pharma, Forensic Chemistry Bioanalytical Chemistry. 15 studiepunten. zelfstandiger. bevat vrijekeuzeruimte. invullen af, bepaalt. Research, atelier afgestemd interessegebied. vullen. verbredend zelf. Research, atelier, modules, erkende masterdiploma aanbieden. chemiestudies, Drug Discovery RU Nijmegen Utrecht. Forensic Amsterdam. TU Eindhoven, Maastricht."
chemische technologie,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"industriële grootschalige natuurkunde, principes pak logisch oplossingsgericht hands-on verzinnen procesindustrie. realiseren, vakgebieden. Herken hierin? projectwerk. technoloog. formules warmte- stofoverdracht grootschalige scheidingsprocessen. uitgebreidere rekenmodellen keuzemodule vervangen ESSET (Milieukunde), Laboratoriumonderzoek. oriënterende bedrijfsstage zien. vrijekeuzemodule. (Procesautomatisering Watertechnologie) anders. overeen werkzaamheden technoloog verwacht Chemical Eindhoven University Technology Biotechnology Wageningen University Research. mogen beginnen. universiteiten."
civiele techniek,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"leefbaar grond-, wegen- waterbouw. Wegen, tunnels, stations, dijken. bewondering schuilt achter. kleinste detail geheel. aanleg schuilt. herkent, 'de omgeving', 'een ontwerp', 'een uitvoeringsplan' 'klimaatadaptatie'. stammodules vrijekeuzemodules pad uitgestippelde volgen? altijd. bouwfasen water, wegen, constructie, project- stakeholdermanagement. projectopdrachten. voetgangersbrug veilige, veerkrachtige materiaal- hbo-opleidingen Bouwkunde, Bouwtechnische Bedrijfskunde bereikbaarheidsprobleem, wateroverlast hittestress aannemer, ingenieursbureau gemeente. fases bouwproces: werktuigbouwkundestudenten beweegbare bruggen milieukundestudenten weg. medestudent resulteert bruikbaar mastertitel TU Eindhoven. TU Delft masterstudie Watermanagement. TU Twente masterstudie Civil Management. werkgever deeltijd. constructeursopleiding. universitair brancheverenigingen."
communication and multimedia design,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"Communication Multimedia (CMD) hbo-ontwerpopleiding creativiteit, samenkomen. experimenteren. duizendpoot interesse. fascinatie mediavormgeving. affiniteit techneut CMD doorlopen. detail, sterk. Communication Multimedia hetzelfde: vakinhoud, practice draad experimenteren. opdrachten, kletsen? studententelefoon: 06-84810992. Annelie beheert studententelefoon. álles Communication Multimedia Breda. multimedia-opleiding thema, Social Storytelling. team. CMD-studie 52 propedeuse. thematisch gevolgd. CMD-studie media, creative technology, video, web, vormgeving, mobiel, game, animatie geluid. arbeidsmarkt. ingewikkelde multimedia-opleiding eindpresentatie. lesblokken proef bekwaamheid. CMD-opleiding. visie afloop exposeer doorstuderen. Bedrijfscommunicatie Tilburg University. Technology Leiden. Communication: networked Piet Zwart Instituut Rotterdam. Media, Communications Critical Practice LCC Londen. Communication studies Twente. CMD Genk België. Studies Erasmus Rotterdam."
elektrotechniek,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"productierobots smartwatch zonnepanelen. electrical hieraan bijdraagt. daaraan leveren. superbatterijen vliegtuigen. productierobots sensoren, Internet Things (IoT) verkrijgt efficiënter herkent theorielessen, opdoen. -natuurkunde, datacommunicatie, besturingen, sensoren, microcontrollers. -natuurkunde, datacommunicatie, energiemanagement, AC- DC-netwerken aandrijf- procestechniek. Energy Industrial Automation. electrical brengt. vervolgstudie Avans master, Eindhoven. carrière."
informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"ontwikkelt, ICT-advies AI Security. ontwikkelt. IT-oplossingen. IT-opleiding abstract structureren, logisch redeneren. af, ICT'ers klanten, nooit alleen. Herken hierin? Breda gespecialiseerd Security, Science, maatschappelijk professionals, Cycle. engineering. oriënteert toepassingsmogelijkheden ICT-vakgebied. beveiligde software, mobiele AI-systeem, Informatica. overstappen. webapplicaties, AI Security. keuzemodule Avans. specialisatierichtingen lijkt. keuzemodule Avans. profileren beroepsprofessional. interesses. startbekwame ICT-professional profilering uitstroomprofiel. hbo-instelling Avans studies Keteninformatisering, Strategic Information ERP doorstroomminor Topprogramma versneld Eindhoven Tilburg University."
mechatronica,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"Mechatronica snelle productiemachines haalt elkaar. bewegen nieuwsgierigheid anderen. nóg intelligentere herkent, Mechatronica Mechatronica themablokken theorie- practicumlessen beroepsgerichte verband processen. aanpakt. vervolg. aankomend ingenieur. thema's: Mechatronica thema's: keuzemodules. keuzemodules toekomstbeeld. Mechatronica collegejaar delen. mechatronische ontwerpt. kunde on-the-job situatie. differentiatie industriële automatisering/robotisering mechatronisch productdesign. Mechatronica collegejaar delen. Avans aantoont veerkrachtige wendbare Mechatronica vervolgopleiding universiteiten. hbo-instelling georganiseerd"
mens en techniek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"Gezondheidstechnologie oplost zetten. én gezondheidszorg. VR, videoconsults, robots, gamification apps. welzijn belangrijk. communicatief vaardig, bruist ideeën. Herken hierin, Gezondheidstechnologie Gezondheidszorgtechnologie sectoren gezondheidstechnoloog keuzemodules projectgroepen, Gezondheidstechnologie gezellige introweek start. projectgroep. praktijkvraagstuk. positieve gezondheid, gamification, veranderkunde, wearables. zorgoplossing draait, patiënten. zorgorganisaties. interesse. Bedrijfskunde zorgorganisaties patiëntbehoefte uitvragen. keuzemodule gezondheidstechnoloog. keuzemodule 'Innoveren welzijn'. innovatie, onderbouwde project- onderzoeksaanpak, stageproject praktijkopdracht. verslag resultaten. carrière gezondheidszorgtechnoloog. Gezondheidstechnologie doorstuderen. hbo-masters, Avans. Health by Design. pre-masters Health Sciences Gezondheidswetenschappen. beleid, AI, meer. Zorgmanagement Healthcare Policy, Innovation Management."
ruimtelijke ontwikkeling,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,"beheren. creatief, én zakelijk. technische, juridische financiële aspecten, beseft sociaal-maatschappelijke context. gemakkelijk uitdaging. spin architect bouwkundige, eindgebruiker investeerder krijgen. Herken hierin? thema, Veerkrachtige Stad. stammodules keuzemodules. stammodules keuzemodules route. persoon? vervullen later? regisseren in: kennismakingsmodule kennismaakt Bouwkunde, Bouwtechnische Bedrijfskunde, (blokken) Gebiedsontwikkeling, Vastgoedbeheer Vastgoed (bouwgerelateerde) zelf. Veerkrachtige stad, Driven Gebiedsbeheer. eindigt projectontwikkelaar, gemeente, vastgoedbedrijf, (stedenbouwkundig) advies- ontwerpbureau, woningbouwcorporatie. vastgoedbeheer gebiedsontwikkeling, geleerd. interesse. Avans, student. beschikt Proeve Bekwaamheid. Real Estate ASRE Amsterdam, Radboud Nijmegen, Rijks Groningen, TIAS Tilburg. Architecture, Building Planning. werkgever post-hbo deeltijd. Neprom. Nederlandse Vereniging Projectontwikkeling Maatschappijen."
technische bedrijfskunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"dé procesverbeteraar Bedrijfskunde. affiniteit sociaal, geïnteresseerd economie. vindingrijk: puzzelaar. verbeteringen implementeren leuk. ideeën overtuigend overbrengen aansturen. bang leiding nemen. niveaus groepen. Herken kenmerken? Bedrijfskunde Bedrijfskunde lijn 'Running Changing Business'. dagelijkse klussen én doorvoeren verandering? bedrijfsexcursies. lever gezamenlijke vaktentamens. Bedrijfskunde leveranciers concurrentie. veranderen. datagedrevenheid. verbeterproject. beschrijft productieproces, verzamelt gegevens, Bedrijfskunde vrijekeuzemodule. studieloopbaan innoveer automatiseren digitaliseren. inkijk productiebedrijven. supply chain behoeften inspeelt. beslissingen nemen. keteninnovatie staat. aanpassingen proces, circulair opnieuw studieloopbaan. vrijkeuzemodule. gerelateerd Bedrijfskunde Avans interesses. ingewikkeld bedrijfsprobleem hierover. Bedrijfskunde Supply Chain Operations TU/e, Tilburg, Nijmegen Erasmus Human Resource Studies faculteit Wetenschappen."
